time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1982-10-01T01:33:35.150Z,37.926,-118.174,5,4,ml,,,,1,us,usp0001py9,2014-11-07T00:31:56.237Z,"Nevada",earthquake
1982-10-01T01:51:45.740Z,-21.373,35.284,33,4.3,mb,,,,1.3,us,usp0001pya,2014-11-07T00:31:56.926Z,"Mozambique",earthquake
1982-10-01T05:35:47.360Z,-1.635,-15.609,10,5,ms,,,,0.9,us,usp0001pyb,2015-02-11T17:15:01.000Z,"north of Ascension Island",earthquake
1982-10-01T06:24:58.700Z,35.75,-117.75,4,3.1,ml,,,,,us,usp0001pyc,2014-11-07T00:31:57.054Z,"Southern California",earthquake
1982-10-01T07:59:14.080Z,61.611,-146.361,63.6,,,,,,0.9,us,usp0001pyd,2014-11-07T00:31:57.065Z,"Southern Alaska",earthquake
1982-10-01T08:59:22.040Z,16.294,-98.606,33,4.3,mb,,,,1.2,us,usp0001pye,2014-11-07T00:31:57.083Z,"offshore Guerrero, Mexico",earthquake
1982-10-01T09:21:16.400Z,35.75,-117.75,4,3.2,ml,,,,,us,usp0001pyf,2014-11-07T00:31:57.110Z,"Southern California",earthquake
1982-10-01T11:22:57.970Z,41.667,-126.087,10,4.1,mb,,,,1.3,us,usp0001pyg,2014-11-07T00:31:57.123Z,"off the coast of Northern California",earthquake
1982-10-01T12:06:04.290Z,16.326,122.356,62.5,4.1,mb,,,,1.4,us,usp0001pyh,2014-11-07T00:31:57.140Z,"Luzon, Philippines",earthquake
1982-10-01T12:19:32.800Z,35.733,-117.75,5,3.4,ml,,,,,us,usp0001pyj,2014-11-07T00:31:57.152Z,"Southern California",earthquake
1982-10-01T12:48:04.270Z,-26.832,26.632,5,,,,,,1.1,us,usp0001pyk,2014-11-07T00:31:57.165Z,"South Africa",earthquake
1982-10-01T14:14:21.800Z,4.05,127.164,72,4.5,mb,,,,0.7,us,usp0001pym,2014-11-07T00:31:57.175Z,"Kepulauan Talaud, Indonesia",earthquake
1982-10-01T14:29:04.600Z,35.733,-117.75,8,4.9,mb,,,,,us,usp0001pyn,2015-03-25T16:30:54.774Z,"Southern California",earthquake
1982-10-01T14:33:06.400Z,35.7,-117.733,4,3.2,ml,,,,,us,usp0001pyp,2014-11-07T00:31:57.255Z,"Southern California",earthquake
1982-10-01T14:37:15.900Z,35.757,-117.783,6,3.2,ml,,,,,us,usp0001pyq,2014-11-07T00:31:57.266Z,"Southern California",earthquake
1982-10-01T14:38:19.200Z,35.717,-117.733,4,3,ml,,,,,us,usp0001pyr,2014-11-07T00:31:57.274Z,"Southern California",earthquake
1982-10-01T14:42:55.150Z,56.176,-149.928,33,4.4,mb,,,,0.9,us,usp0001pys,2014-11-07T00:31:57.285Z,"Gulf of Alaska",earthquake
1982-10-01T15:35:48.850Z,60.309,-141.396,15,4.1,mb,,,,1.2,us,usp0001pyt,2014-11-07T00:31:57.298Z,"Southern Alaska",earthquake
1982-10-01T15:37:50.790Z,-3.745,177.757,33,4.7,mb,,,,0.9,us,usp0001pyu,2014-11-07T00:31:57.308Z,"Gilbert Islands, Kiribati region",earthquake
1982-10-01T15:52:19.780Z,-3.604,177.69,33,4.8,mb,,,,0.9,us,usp0001pyv,2014-11-07T00:31:57.317Z,"Gilbert Islands, Kiribati region",earthquake
1982-10-01T16:53:50.840Z,37.718,139.621,144.8,5.1,mb,,,,0.9,us,usp0001pyw,2014-11-07T00:31:57.331Z,"eastern Honshu, Japan",earthquake
1982-10-01T17:14:42.100Z,35.75,-117.75,8,4.2,ml,,,,,us,usp0001pyx,2014-11-07T00:31:57.422Z,"Southern California",earthquake
