time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2005-12-01T00:24:49.200Z,30.921,99.115,1,4.7,mb,66,39.7,,1.01,us,usp000e58m,2014-11-07T01:27:46.335Z,"western Sichuan, China",earthquake
2005-12-01T00:34:26.900Z,26.73,55.68,10,4.3,mb,75,102.9,,,us,usp000e58n,2014-11-07T01:27:46.914Z,"southern Iran",earthquake
2005-12-01T00:42:19.710Z,15.724,-60.962,71,2.6,md,6,257.3,,,us,usp000e58p,2014-11-07T01:27:46.996Z,"Dominica region, Leeward Islands",earthquake
2005-12-01T00:52:54.930Z,46.144,15.014,10,1.8,ml,11,106,,0.25,us,usp000e58q,2014-11-07T01:27:47.084Z,"Slovenia",earthquake
2005-12-01T01:52:03.000Z,-30.536,117.038,3,2.9,ml,7,123,,,us,usp000e58r,2014-11-07T01:27:47.102Z,"Western Australia",earthquake
2005-12-01T01:52:57.660Z,4.842,127.591,130.5,4.5,mb,29,100.2,,0.76,us,usp000e58s,2014-11-07T01:27:47.114Z,"Kepulauan Talaud, Indonesia",earthquake
2005-12-01T02:01:11.220Z,0.695,98.424,30,4.1,mb,11,189.9,,1.1,us,usp000e58t,2014-11-07T01:27:47.139Z,"Nias region, Indonesia",earthquake
2005-12-01T02:06:47.800Z,-33.69,-69.979,9.6,3.8,ml,19,92.1,,,us,usp000e58u,2014-11-07T01:27:47.150Z,"Region Metropolitana, Chile",earthquake
2005-12-01T02:24:16.500Z,42.88,0.23,5,2.8,ml,33,32.9,,,us,usp000e58v,2014-11-07T01:27:47.173Z,"Pyrenees",earthquake
2005-12-01T02:50:36.220Z,-5.249,145.439,78.8,4.5,mb,11,134.2,,0.79,us,usp000e58w,2014-11-07T01:27:47.269Z,"eastern New Guinea region, Papua New Guinea",earthquake
2005-12-01T03:08:40.390Z,-21.021,-179.105,644.7,5.5,mwc,341,23,,0.82,us,usp000e58x,2015-02-11T17:18:10.000Z,"Fiji region",earthquake
