time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1976-05-01T02:34:41.700Z,53.273,157.786,179,4.4,mb,,,,,us,usp0000g3t,2014-11-06T23:21:34.980Z,"Kamchatka Peninsula, Russia",earthquake
1976-05-01T05:10:25.100Z,37.843,15.031,38,4.4,mb,,,,,us,usp0000g3u,2014-11-06T23:21:34.981Z,"Sicily, Italy",earthquake
1976-05-01T07:26:27.000Z,37.12,27.724,33,4.3,mb,,,,,us,usp0000g3v,2014-11-06T23:21:34.982Z,"western Turkey",earthquake
1976-05-01T10:00:30.900Z,3.953,-85.844,33,4.2,mb,,,,,us,usp0000g3w,2014-11-06T23:21:34.982Z,"off the coast of Central America",earthquake
1976-05-01T11:35:40.700Z,38.143,86.963,33,4.6,mb,,,,,us,usp0000g3x,2014-11-06T23:21:34.983Z,"southern Xinjiang, China",earthquake
1976-05-01T14:46:52.400Z,-23.888,-66.48,202,4.9,mb,,,,,us,usp0000g3y,2014-11-06T23:21:34.983Z,"Jujuy, Argentina",earthquake
1976-05-01T16:30:48.000Z,36.392,59.205,15,3.7,mb,,,,,us,usp0000g3z,2014-11-06T23:21:34.984Z,"northeastern Iran",earthquake
1976-05-01T19:34:19.500Z,41.842,142.134,69,5,mb,,,,,us,usp0000g40,2014-11-06T23:21:34.984Z,"Hokkaido, Japan region",earthquake
1976-05-01T20:15:27.900Z,32.117,-115.667,16,3.3,ml,,,,,us,usp0000g41,2014-11-06T23:21:34.985Z,"Baja California, Mexico",earthquake
1976-05-02T00:56:37.800Z,-6.165,148.361,68,,,,,,,us,usp0000g42,2014-11-06T23:21:34.985Z,"New Britain region, Papua New Guinea",earthquake
1976-05-02T06:17:51.400Z,-3.081,138.28,79,5.3,mb,,,,,us,usp0000g43,2014-11-06T23:21:34.986Z,"Papua, Indonesia",earthquake
1976-05-02T07:17:12.100Z,13.449,122.213,29,5.1,mb,,,,,us,usp0000g44,2014-11-06T23:21:34.986Z,"Luzon, Philippines",earthquake
1976-05-02T08:23:03.900Z,34.35,-117,6,3,mb,,,,,us,usp0000g45,2014-11-06T23:21:34.987Z,"Southern California",earthquake
1976-05-02T09:17:39.200Z,-12.903,166.845,124,,,,,,,us,usp0000g46,2014-11-06T23:21:34.987Z,"Santa Cruz Islands",earthquake
1976-05-02T11:54:52.000Z,-18.202,167.935,26,4.5,mb,,,,,us,usp0000g47,2014-11-06T23:21:34.988Z,"Vanuatu",earthquake
1976-05-02T13:56:59.300Z,34.367,-117.017,6,3,ml,,,,,us,usp0000g48,2014-11-06T23:21:34.989Z,"Southern California",earthquake
1976-05-02T14:02:07.200Z,-5.864,130.75,116,4.9,mb,,,,,us,usp0000g49,2014-11-06T23:21:34.989Z,"Banda Sea",earthquake
1976-05-02T15:20:24.900Z,49.783,155.953,33,5,mb,,,,,us,usp0000g4a,2014-11-06T23:21:34.990Z,"Kuril Islands",earthquake
1976-05-02T15:41:36.700Z,40.346,63.605,33,3.6,mb,,,,,us,usp0000g4b,2014-11-06T23:21:34.990Z,"western Uzbekistan",earthquake
