time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1999-09-01T00:25:38.560Z,59.751,-152.165,83.5,,,,,,,us,usp0009dw8,2014-11-07T01:08:22.430Z,"Southern Alaska",earthquake
1999-09-01T00:56:38.710Z,-32.765,-71.697,14.6,3.1,md,,,,,us,usp0009dw9,2014-11-07T01:08:22.976Z,"offshore Valparaiso, Chile",earthquake
1999-09-01T00:59:39.400Z,43.1,-0.5,6,2.5,ml,,,,,us,usp0009dwa,2014-11-07T01:08:22.997Z,"Pyrenees",earthquake
1999-09-01T01:13:47.170Z,18.014,-67.162,12.3,3.1,ml,,,,,us,usp0009dwb,2014-11-07T01:08:23.025Z,"Puerto Rico",earthquake
1999-09-01T02:14:40.600Z,37.528,21.224,33,4.1,mb,,,,1.48,us,usp0009dwc,2014-11-07T01:08:23.061Z,"southern Greece",earthquake
1999-09-01T02:31:07.090Z,12.612,-60.172,47,3.9,md,,,,,us,usp0009dwd,2014-11-07T01:08:23.197Z,"Barbados region, Windward Islands",earthquake
1999-09-01T02:54:22.270Z,2.599,-79.802,33,4.8,mb,,,,0.87,us,usp0009dwe,2014-11-07T01:08:23.206Z,"south of Panama",earthquake
1999-09-01T02:56:21.170Z,-24.382,-67.118,173.6,4.6,mb,,,,1.46,us,usp0009dwf,2014-11-07T01:08:23.276Z,"Salta, Argentina",earthquake
1999-09-01T03:18:07.750Z,62.322,-149.3,48.6,3.5,ml,,,,,us,usp0009dwg,2014-11-07T01:08:23.294Z,"Central Alaska",earthquake
1999-09-01T03:23:27.100Z,40.566,29.164,10,3.9,mb,,,,1.31,us,usp0009dwh,2014-11-07T01:08:23.306Z,"western Turkey",earthquake
1999-09-01T04:03:04.760Z,44.034,-128.148,10,4.2,mb,,,,0.74,us,usp0009dwj,2014-11-07T01:08:23.316Z,"off the coast of Oregon",earthquake
1999-09-01T04:07:53.740Z,-10.163,34.179,10,4.5,mb,,,,1.32,us,usp0009dwk,2014-11-07T01:08:23.346Z,"Malawi",earthquake
1999-09-01T04:36:57.720Z,-8.281,120.619,33,4.6,mb,,,,0.93,us,usp0009dwm,2014-11-07T01:08:23.370Z,"Flores region, Indonesia",earthquake
1999-09-01T05:00:50.340Z,53.22,-4.009,10,3.3,ml,,,,1.12,us,usp0009dwn,2014-11-07T01:08:23.393Z,"Wales, United Kingdom",earthquake
1999-09-01T05:45:17.700Z,36.03,-2.69,0,2.5,mblg,,,,,us,usp0009dwp,2014-11-07T01:08:23.421Z,"Strait of Gibraltar",earthquake
1999-09-01T06:42:41.630Z,4.676,-32.613,10,5.1,mwc,,,,0.85,us,usp0009dwq,2015-02-11T17:16:58.000Z,"central Mid-Atlantic Ridge",earthquake
1999-09-01T08:43:31.480Z,-34.237,-70.658,110.2,,,,,,,us,usp0009dwr,2014-11-07T01:08:23.557Z,"Libertador General Bernardo O'Higgins, Chile",earthquake
1999-09-01T09:24:49.400Z,37.51,-1.86,6.1,2.5,mblg,,,,,us,usp0009dws,2014-11-07T01:08:23.566Z,"Spain",earthquake
1999-09-01T09:51:51.260Z,-34.929,-72.608,19.1,3.6,md,,,,,us,usp0009dwt,2014-11-07T01:08:23.577Z,"offshore Maule, Chile",earthquake
1999-09-01T10:38:19.000Z,36.19,-9.52,15.5,2.4,mblg,,,,,us,usp0009dwu,2014-11-07T01:08:23.586Z,"west of Gibraltar",earthquake
1999-09-01T10:42:46.830Z,44.409,8.858,2,2.1,ml,,,,,us,usp0009dwv,2014-11-07T01:08:23.595Z,"northern Italy",earthquake
1999-09-01T10:47:03.000Z,-38.6,176.22,119,,,,,,,us,usp0009dww,2014-11-07T01:08:23.602Z,"North Island of New Zealand",earthquake
1999-09-01T11:10:22.070Z,-35.163,-71.264,107.7,2.9,md,,,,,us,usp0009dwx,2014-11-07T01:08:23.615Z,"Maule, Chile",earthquake
1999-09-01T11:47:23.800Z,47.471,-115.783,2,3,ml,,,,,us,usp0009dwy,2014-11-07T01:08:23.626Z,"northern Idaho",earthquake
1999-09-01T12:14:11.900Z,61.803,-149.002,13,3.4,ml,,,,,us,usp0009dwz,2014-11-07T01:08:23.650Z,"Southern Alaska",earthquake
1999-09-01T12:43:22.570Z,41.14,20.179,10,2.6,md,,,,0.83,us,usp0009dx0,2014-11-07T01:08:23.664Z,"Albania",earthquake
1999-09-01T14:49:31.190Z,18.705,-67.336,8,3.4,ml,,,,,us,usp0009dx1,2014-11-07T01:08:23.677Z,"Puerto Rico region",earthquake
1999-09-01T15:30:23.800Z,-40.75,173.17,170,,,,,,,us,usp0009dx2,2014-11-07T01:08:23.687Z,"Cook Strait, New Zealand",earthquake
1999-09-01T15:54:49.000Z,46.2,7.2,2,2.6,ml,,,,,us,usp0009dx3,2014-11-07T01:08:23.715Z,"Switzerland",earthquake
1999-09-01T18:06:05.240Z,10.865,-62.191,93,3.2,md,,,,,us,usp0009dx4,2014-11-07T01:08:23.812Z,"offshore Sucre, Venezuela",earthquake
1999-09-01T18:42:37.470Z,11.012,-62.205,58,2.7,md,,,,,us,usp0009dx5,2014-11-07T01:08:23.919Z,"offshore Sucre, Venezuela",earthquake
1999-09-01T19:02:57.150Z,5.933,126.217,33,5.3,mwc,,,,0.93,us,usp0009dx6,2015-02-11T17:16:58.000Z,"Mindanao, Philippines",earthquake
1999-09-01T19:44:36.360Z,-34.436,-73.868,4.5,3.6,md,,,,,us,usp0009dx7,2014-11-07T01:08:24.086Z,"off the coast of Libertador O'Higgins, Chile",earthquake
1999-09-01T19:54:05.260Z,-5.033,153.639,33,5.1,mwc,,,,0.94,us,usp0009dx8,2015-02-11T17:16:58.000Z,"New Ireland region, Papua New Guinea",earthquake
1999-09-01T20:24:16.930Z,-34.463,-71.737,34,3.7,md,,,,,us,usp0009dx9,2014-11-07T01:08:24.336Z,"Libertador General Bernardo O'Higgins, Chile",earthquake
1999-09-01T21:43:32.220Z,11.527,-61.351,10,3,md,,,,,us,usp0009dxa,2014-11-07T01:08:24.346Z,"Grenada region, Windward Islands",earthquake
1999-09-01T21:47:58.800Z,-5.229,145.747,88.9,4.3,mb,,,,1.31,us,usp0009dxb,2014-11-07T01:08:24.351Z,"eastern New Guinea region, Papua New Guinea",earthquake
1999-09-01T22:36:06.510Z,-34.803,-70.772,113.4,2.8,md,,,,,us,usp0009dxc,2014-11-07T01:08:24.360Z,"Libertador General Bernardo O'Higgins, Chile",earthquake
1999-09-01T22:55:00.820Z,43.305,145.786,33,,,,,,0.52,us,usp0009dxd,2014-11-07T01:08:24.370Z,"Hokkaido, Japan region",earthquake
1999-09-01T23:15:43.940Z,51.646,16.167,5,3.9,ml,,,,1.07,us,usp0009dxe,2014-11-07T01:08:24.377Z,"Poland",earthquake
1999-09-01T23:18:10.010Z,51.644,16.204,5,4.1,ml,,,,0.49,us,usp0009dxf,2014-11-07T01:08:24.397Z,"Poland",earthquake
1999-09-01T23:39:56.600Z,48.1,-0.1,5,2.1,ml,,,,,us,usp0009dxg,2014-11-07T01:08:24.416Z,"France",earthquake
1999-09-02T00:16:27.700Z,-32.078,138.286,10,,,,,,1.52,us,usp0009dxh,2014-11-07T01:08:24.425Z,"near the coast of South Australia",earthquake
1999-09-02T01:22:49.150Z,53.973,161.008,33,4.8,mb,,,,0.88,us,usp0009dxj,2014-11-07T01:08:24.433Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake
1999-09-02T01:51:25.770Z,-32.028,-71.268,70.4,3.1,md,,,,,us,usp0009dxk,2014-11-07T01:08:24.507Z,"Coquimbo, Chile",earthquake
1999-09-02T02:33:35.120Z,50.587,-177.65,33,5.4,mwc,,,,0.88,us,usp0009dxm,2015-02-11T17:16:58.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1999-09-02T02:37:18.380Z,-33.353,-70.051,114.4,4.7,mb,,,,0.79,us,usp0009dxn,2014-11-07T01:08:24.685Z,"Region Metropolitana, Chile",earthquake
1999-09-02T04:28:03.240Z,42.834,20.624,12.8,2.3,md,,,,,us,usp0009dxp,2014-11-07T01:08:24.715Z,"Kosovo",earthquake
1999-09-02T06:12:31.840Z,42.381,19.611,18.6,1.8,md,,,,,us,usp0009dxq,2014-11-07T01:08:24.724Z,"Albania",earthquake
1999-09-02T06:21:06.290Z,-33.56,-70.037,8.2,3.3,md,,,,,us,usp0009dxr,2014-11-07T01:08:24.731Z,"Region Metropolitana, Chile",earthquake
1999-09-02T07:09:40.800Z,-6.381,145.649,130.7,5.2,mwc,,,,0.91,us,usp0009dxs,2015-02-11T17:16:58.000Z,"New Guinea, Papua New Guinea",earthquake
1999-09-02T07:38:50.910Z,15.061,-92.888,81.5,4.1,mb,,,,1.33,us,usp0009dxt,2014-11-07T01:08:24.769Z,"offshore Chiapas, Mexico",earthquake
1999-09-02T08:14:19.130Z,-32.028,-71.662,25.6,3.6,md,,,,,us,usp0009dxu,2014-11-07T01:08:24.813Z,"offshore Coquimbo, Chile",earthquake
1999-09-02T09:09:39.020Z,49.019,13.748,10,,,,,,1.16,us,usp0009dxv,2014-11-07T01:08:24.949Z,"Czech Republic",earthquake
1999-09-02T09:12:13.110Z,61.476,-146.563,33,3,ml,,,,0.26,us,usp0009dxw,2014-11-07T01:08:24.953Z,"Southern Alaska",earthquake
1999-09-02T09:45:26.490Z,-33.605,-70.632,79.3,2.5,md,,,,,us,usp0009dxx,2014-11-07T01:08:24.963Z,"Region Metropolitana, Chile",earthquake
1999-09-02T11:18:13.280Z,40.808,30.688,9.6,3.4,md,,,,,us,usp0009dxy,2014-11-07T01:08:25.068Z,"western Turkey",earthquake
1999-09-02T13:10:13.800Z,39.17,-0.66,15.2,2.7,mblg,,,,,us,usp0009dxz,2014-11-07T01:08:25.149Z,"Spain",earthquake
1999-09-02T14:22:40.400Z,-38.1,176.74,134,,,,,,,us,usp0009dy0,2014-11-07T01:08:25.216Z,"North Island of New Zealand",earthquake
1999-09-02T14:25:19.870Z,40.563,30.532,10,4,mb,,,,1.14,us,usp0009dy1,2014-11-07T01:08:25.276Z,"western Turkey",earthquake
1999-09-02T15:21:36.490Z,-30.688,-71.389,65.9,4.5,mb,,,,0.98,us,usp0009dy2,2014-11-07T01:08:25.406Z,"Coquimbo, Chile",earthquake
1999-09-02T15:28:46.000Z,37.41,-117.08,9.4,2.9,md,,,,,us,usp0009dy3,2014-11-07T01:08:25.427Z,"Nevada",earthquake
1999-09-02T16:04:24.270Z,55.668,110.009,10,,,,,,1.05,us,usp0009dy4,2014-11-07T01:08:25.430Z,"Lake Baykal region, Russia",earthquake
1999-09-02T16:17:29.700Z,41.721,-89.433,5,3.5,mblg,,,,0.69,us,usp0009dy5,2014-11-07T01:08:25.434Z,"Illinois",earthquake
1999-09-02T17:03:38.190Z,-17.667,-178.615,565.9,4.5,mb,,,,1,us,usp0009dy6,2014-11-07T01:08:25.438Z,"Fiji region",earthquake
