time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1984-12-01T01:53:40.050Z,35.978,140.77,10,,,,,,0.7,us,usp00029np,2014-11-07T00:35:46.727Z,"near the east coast of Honshu, Japan",earthquake
1984-12-01T02:11:39.860Z,-30.767,-69.513,139.8,,,,,,0.8,us,usp00029nq,2014-11-07T00:35:47.294Z,"San Juan, Argentina",earthquake
1984-12-01T02:22:21.610Z,-19.564,-69.205,128.8,4.5,mb,,,,0.9,us,usp00029nr,2014-11-07T00:35:47.318Z,"Tarapaca, Chile",earthquake
1984-12-01T02:27:41.780Z,36.521,71.142,228.9,4.5,mb,,,,0.9,us,usp00029ns,2014-11-07T00:35:47.364Z,"Hindu Kush region, Afghanistan",earthquake
1984-12-01T03:30:43.910Z,40.543,21.6,8.1,,,,,,0.3,us,usp00029nt,2014-11-07T00:35:47.410Z,"Greece",earthquake
1984-12-01T03:36:43.180Z,42.117,19.384,8.3,2.5,ml,,,,0.4,us,usp00029nu,2014-11-07T00:35:47.429Z,"Montenegro",earthquake
1984-12-01T04:55:53.900Z,37.477,-118.75,8,3.9,ml,,,,,us,usp00029nv,2014-11-07T00:35:47.441Z,"Central California",earthquake
1984-12-01T05:06:34.620Z,21.149,120.04,31.1,,,,,,0.6,us,usp00029nw,2014-11-07T00:35:47.462Z,"Taiwan region",earthquake
1984-12-01T06:40:15.110Z,-19.213,-174.746,180,4.7,mb,,,,1,us,usp00029nx,2014-11-07T00:35:47.470Z,"Tonga",earthquake
1984-12-01T07:30:48.290Z,36.591,71.435,33,4.4,mb,,,,0.7,us,usp00029ny,2014-11-07T00:35:47.491Z,"Hindu Kush region, Afghanistan",earthquake
1984-12-01T07:37:17.590Z,-13.478,167.306,60.6,4.5,mb,,,,1.2,us,usp00029nz,2014-11-07T00:35:47.500Z,"Vanuatu",earthquake
1984-12-01T07:41:17.260Z,-31.728,-67.357,158.7,,,,,,0.8,us,usp00029p0,2014-11-07T00:35:47.520Z,"San Juan, Argentina",earthquake
1984-12-01T08:27:51.220Z,35.168,141.181,33,4.6,mb,,,,0.8,us,usp00029p1,2014-11-07T00:35:47.555Z,"near the east coast of Honshu, Japan",earthquake
1984-12-01T08:56:20.980Z,36.403,70.623,205.7,4.7,mb,,,,0.9,us,usp00029p2,2014-11-07T00:35:47.565Z,"Hindu Kush region, Afghanistan",earthquake
1984-12-01T09:37:10.140Z,33.027,96.655,33,,,,,,1.5,us,usp00029p3,2014-11-07T00:35:47.597Z,"southern Qinghai, China",earthquake
1984-12-01T09:37:56.710Z,-14.808,-4.132,10,5.2,mb,,,,0.8,us,usp00029p4,2014-11-07T00:35:47.603Z,"South Atlantic Ocean",earthquake
1984-12-01T13:16:56.620Z,36.096,139.852,46.2,,,,,,0.6,us,usp00029p5,2014-11-07T00:35:47.668Z,"eastern Honshu, Japan",earthquake
1984-12-01T13:31:07.820Z,-8.057,128.548,33,4.9,mb,,,,0.9,us,usp00029p6,2014-11-07T00:35:47.679Z,"Timor Sea",earthquake
1984-12-01T14:13:34.910Z,-12.917,169.774,677.4,4.5,mb,,,,1,us,usp00029p7,2014-11-07T00:35:47.695Z,"Santa Cruz Islands region",earthquake
1984-12-01T14:18:49.530Z,-12.9,169.724,673.3,4.9,mb,,,,0.9,us,usp00029p8,2014-11-07T00:35:47.742Z,"Santa Cruz Islands region",earthquake
1984-12-01T15:42:12.340Z,40.615,23.279,10,,,,,,1.3,us,usp00029p9,2014-11-07T00:35:47.792Z,"Greece",earthquake
1984-12-01T16:07:30.090Z,-32.299,-69.625,149.8,,,,,,0.5,us,usp00029pa,2014-11-07T00:35:47.807Z,"Mendoza, Argentina",earthquake
1984-12-01T17:15:04.810Z,-12.311,167.059,297.3,4.8,mb,,,,1,us,usp00029pb,2014-11-07T00:35:47.819Z,"Santa Cruz Islands",earthquake
1984-12-01T17:17:30.860Z,52.352,178.195,160.1,4.5,mb,,,,0.9,us,usp00029pc,2014-11-07T00:35:47.867Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
1984-12-01T18:06:23.850Z,-32.942,-177.544,33,4.8,mb,,,,1,us,usp00029pd,2014-11-07T00:35:47.892Z,"south of the Kermadec Islands",earthquake
1984-12-01T18:15:10.840Z,39.601,23.454,10,,,,,,0.6,us,usp00029pe,2014-11-07T00:35:47.906Z,"Aegean Sea",earthquake
1984-12-01T18:18:49.270Z,39.554,23.552,10,,,,,,0.7,us,usp00029pf,2014-11-07T00:35:47.913Z,"Aegean Sea",earthquake
1984-12-01T18:25:51.360Z,60.575,-150.301,51.1,3.8,mb,,,,0.7,us,usp00029pg,2014-11-07T00:35:47.921Z,"Kenai Peninsula, Alaska",earthquake
1984-12-01T18:45:24.800Z,51.355,-176.342,33,5,mb,,,,0.9,us,usp00029ph,2014-11-07T00:35:47.931Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1984-12-01T19:40:52.300Z,37.45,-118.63,6,3,ml,,,,,us,usp00029pj,2014-11-07T00:35:47.979Z,"Central California",earthquake
1984-12-01T20:14:27.800Z,37.43,-118.6,6,3.8,ml,,,,,us,usp00029pk,2014-11-07T00:35:47.986Z,"Central California",earthquake
1984-12-01T20:30:30.310Z,-33.36,-70.497,119.3,,,,,,0.8,us,usp00029pm,2014-11-07T00:35:47.999Z,"Region Metropolitana, Chile",earthquake
1984-12-01T20:46:37.730Z,42.084,19.655,10,2.6,ml,,,,0.7,us,usp00029pn,2014-11-07T00:35:48.009Z,"Albania",earthquake
