time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1981-10-01T00:37:39.730Z,50.437,18.843,10,,,,,,0.6,us,usp0001g7m,2014-11-07T00:30:09.124Z,"Poland",earthquake
1981-10-01T01:04:15.500Z,37.627,-118.868,1,3.5,ml,,,,,us,usp0001g7n,2014-11-07T00:30:09.774Z,"Long Valley area, California",earthquake
1981-10-01T03:09:36.600Z,21.553,142.902,394.4,4.3,mb,,,,0.9,us,usp0001g7p,2014-11-07T00:30:09.791Z,"Mariana Islands region",earthquake
1981-10-01T07:02:05.100Z,37.53,-118.888,7,3.9,mb,,,,,us,usp0001g7q,2014-11-07T00:30:09.815Z,"Central California",earthquake
1981-10-01T09:13:57.400Z,37.512,-118.905,1,3.5,ml,,,,,us,usp0001g7r,2014-11-07T00:30:09.844Z,"Central California",earthquake
1981-10-01T10:14:17.130Z,-7.268,129.696,154,5,mb,,,,1.2,us,usp0001g7s,2014-11-07T00:30:09.855Z,"Kepulauan Babar, Indonesia",earthquake
1981-10-01T12:10:44.930Z,41.181,23.233,10,,,,,,0.7,us,usp0001g7t,2014-11-07T00:30:09.872Z,"Greece-Bulgaria border region",earthquake
1981-10-01T12:14:56.780Z,73.317,54.812,0,5.9,mb,,,,0.8,us,usp0001g7u,2015-06-16T17:24:15.718Z,"Novaya Zemlya, Russia",nuclear explosion
1981-10-01T13:10:05.680Z,-4.485,153.039,84.8,5,mb,,,,0.8,us,usp0001g7v,2014-11-07T00:30:10.126Z,"New Ireland region, Papua New Guinea",earthquake
1981-10-01T13:22:36.000Z,37.618,-118.875,2,3.7,ml,,,,,us,usp0001g7w,2014-11-07T00:30:10.154Z,"Long Valley area, California",earthquake
1981-10-01T15:00:17.900Z,37.57,-118.913,8,3.4,ml,,,,,us,usp0001g7x,2014-11-07T00:30:10.162Z,"Central California",earthquake
1981-10-01T15:12:19.580Z,67.899,-161.884,33,3.4,ml,,,,0.5,us,usp0001g7y,2014-11-07T00:30:10.173Z,"northern Alaska",earthquake
1981-10-01T16:02:51.600Z,-33.913,-179.619,33,5.7,ms,,,,1.2,us,usp0001g7z,2015-05-13T18:53:18.000Z,"south of the Kermadec Islands",earthquake
1981-10-01T17:04:44.920Z,50.733,160.429,33,5.9,mb,,,,0.9,us,usp0001g80,2015-05-13T18:53:18.000Z,"east of the Kuril Islands",earthquake
1981-10-01T17:19:18.000Z,45.633,26.465,136,4,mb,,,,1,us,usp0001g81,2014-11-07T00:30:10.563Z,"Romania",earthquake
1981-10-01T18:16:47.200Z,37.578,-118.835,6,3.2,ml,,,,,us,usp0001g82,2014-11-07T00:30:10.574Z,"Central California",earthquake
1981-10-01T19:00:00.100Z,37.082,-116.009,0,4.9,mb,,,,,us,usp0001g83,2015-06-16T15:41:02.009Z,"Nevada",nuclear explosion
1981-10-01T21:43:03.850Z,38.26,22.914,11.8,3.4,ml,,,,0.9,us,usp0001g84,2014-11-07T00:30:10.633Z,"Greece",earthquake
1981-10-01T22:05:07.900Z,37.507,-118.912,5,3.4,ml,,,,,us,usp0001g85,2014-11-07T00:30:10.641Z,"Central California",earthquake
1981-10-02T02:51:54.930Z,-23.024,171.702,48.7,4.6,mb,,,,1.2,us,usp0001g86,2014-11-07T00:30:10.651Z,"southeast of the Loyalty Islands",earthquake
1981-10-02T04:42:11.280Z,38.691,28.903,10,,,,,,0.9,us,usp0001g87,2014-11-07T00:30:10.667Z,"western Turkey",earthquake
1981-10-02T05:48:12.440Z,-7.795,128.361,208.8,5.1,mb,,,,0.9,us,usp0001g88,2014-11-07T00:30:10.673Z,"Kepulauan Barat Daya, Indonesia",earthquake
1981-10-02T05:51:23.160Z,-9.044,121.299,108.9,4.6,mb,,,,0.8,us,usp0001g89,2014-11-07T00:30:10.701Z,"Savu Sea",earthquake
1981-10-02T07:37:22.300Z,37.628,-118.878,4,4.2,ml,,,,,us,usp0001g8a,2014-11-07T00:30:10.718Z,"Long Valley area, California",earthquake
1981-10-02T07:45:03.000Z,37.637,-118.875,5,3.1,ml,,,,,us,usp0001g8b,2014-11-07T00:30:10.731Z,"Long Valley area, California",earthquake
1981-10-02T08:13:23.020Z,61.544,-149.913,52,,,,,,0.8,us,usp0001g8c,2014-11-07T00:30:10.737Z,"Southern Alaska",earthquake
1981-10-02T09:54:39.100Z,38.801,27.391,10,,,,,,0.8,us,usp0001g8d,2014-11-07T00:30:10.760Z,"western Turkey",earthquake
1981-10-02T10:29:51.340Z,40.382,25.854,10,,,,,,1.3,us,usp0001g8e,2014-11-07T00:30:10.767Z,"Aegean Sea",earthquake
1981-10-02T11:53:56.220Z,7.169,123.45,56.1,4.4,mb,,,,0.4,us,usp0001g8f,2014-11-07T00:30:10.779Z,"Mindanao, Philippines",earthquake
1981-10-02T12:33:51.480Z,40.66,25.506,10,,,,,,1.2,us,usp0001g8g,2014-11-07T00:30:10.787Z,"Aegean Sea",earthquake
1981-10-02T14:00:06.110Z,-26.38,27.087,10,,,,,,0.8,us,usp0001g8h,2014-11-07T00:30:10.798Z,"South Africa",earthquake
1981-10-02T15:13:26.850Z,21.805,144.414,113.3,5,mb,,,,1.1,us,usp0001g8j,2014-11-07T00:30:10.846Z,"Mariana Islands region",earthquake
1981-10-02T16:14:23.500Z,37.625,-118.873,1,3.5,ml,,,,,us,usp0001g8k,2014-11-07T00:30:10.885Z,"Long Valley area, California",earthquake
1981-10-02T18:18:13.300Z,37.653,-118.887,5,3.4,ml,,,,,us,usp0001g8m,2014-11-07T00:30:10.895Z,"Long Valley area, California",earthquake
1981-10-02T20:25:19.720Z,-4.232,122.945,53.5,4.6,mb,,,,1.5,us,usp0001g8n,2014-11-07T00:30:10.902Z,"Sulawesi, Indonesia",earthquake
1981-10-02T23:00:44.730Z,18.019,-104.51,57.8,5.2,mb,,,,1,us,usp0001g8p,2014-11-07T00:30:10.916Z,"off the coast of Colima, Mexico",earthquake
1981-10-03T01:20:37.300Z,37.598,-118.84,1,4,ml,,,,,us,usp0001g8q,2014-11-07T00:30:10.952Z,"Long Valley area, California",earthquake
1981-10-03T04:16:04.380Z,52.596,-170.674,45.5,4.6,mb,,,,0.6,us,usp0001g8r,2014-11-07T00:30:10.963Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
1981-10-03T06:45:11.670Z,-2.958,153.132,47.4,4.5,mb,,,,1.3,us,usp0001g8s,2014-11-07T00:30:10.969Z,"New Ireland region, Papua New Guinea",earthquake
1981-10-03T07:05:59.500Z,0.108,97.806,33,4.8,mb,,,,1,us,usp0001g8t,2014-11-07T00:30:10.977Z,"Nias region, Indonesia",earthquake
1981-10-03T07:21:48.170Z,43.839,146.644,75,5.1,mb,,,,1,us,usp0001g8u,2014-11-07T00:30:10.988Z,"Kuril Islands",earthquake
1981-10-03T07:23:32.600Z,37.572,-118.835,5,3.1,ml,,,,,us,usp0001g8v,2014-11-07T00:30:11.032Z,"Central California",earthquake
1981-10-03T08:26:28.970Z,42.362,143.035,62.3,4.4,mb,,,,1,us,usp0001g8w,2014-11-07T00:30:11.060Z,"Hokkaido, Japan region",earthquake
1981-10-03T08:36:15.690Z,-23.343,179.934,525,4.8,mb,,,,0.9,us,usp0001g8x,2014-11-07T00:30:11.067Z,"south of the Fiji Islands",earthquake
1981-10-03T09:01:43.460Z,30.359,94.878,33,4.5,mb,,,,1.2,us,usp0001g8y,2014-11-07T00:30:11.075Z,"eastern Xizang",earthquake
1981-10-03T12:03:03.450Z,59.145,-152.896,112.7,,,,,,0.4,us,usp0001g8z,2014-11-07T00:30:11.088Z,"Southern Alaska",earthquake
1981-10-03T12:09:32.650Z,44.149,12,10,2.7,ml,,,,1.1,us,usp0001g90,2014-11-07T00:30:11.093Z,"northern Italy",earthquake
1981-10-03T14:40:55.300Z,37.585,-118.895,9,3.7,ml,,,,,us,usp0001g91,2014-11-07T00:30:11.103Z,"Central California",earthquake
1981-10-03T15:02:32.870Z,40.331,27.876,12.4,,,,,,0.8,us,usp0001g92,2014-11-07T00:30:11.111Z,"western Turkey",earthquake
1981-10-03T15:59:10.130Z,1.822,127.364,33,4.6,mb,,,,1.1,us,usp0001g93,2014-11-07T00:30:11.116Z,"Halmahera, Indonesia",earthquake
1981-10-03T16:48:41.200Z,13.945,120.769,237.9,5,mb,,,,0.9,us,usp0001g94,2014-11-07T00:30:11.125Z,"Mindoro, Philippines",earthquake
1981-10-03T19:48:27.010Z,-28.002,-66.648,198,,,,,,0.6,us,usp0001g95,2014-11-07T00:30:11.154Z,"Catamarca, Argentina",earthquake
1981-10-03T19:59:41.990Z,1.958,99.303,168.4,4.3,mb,,,,0.8,us,usp0001g96,2014-11-07T00:30:11.161Z,"northern Sumatra, Indonesia",earthquake
1981-10-03T20:52:21.590Z,23.21,121.617,35.8,,,,,,0.6,us,usp0001g97,2014-11-07T00:30:11.167Z,"Taiwan",earthquake
1981-10-03T22:11:52.670Z,39.446,26.132,10,3,ml,,,,1.4,us,usp0001g98,2014-11-07T00:30:11.173Z,"near the coast of western Turkey",earthquake
1981-10-03T22:12:27.490Z,-16.582,28.327,33,4.8,mb,,,,0.9,us,usp0001g99,2014-11-07T00:30:11.183Z,"Zambia",earthquake
