time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1981-01-01T01:08:12.700Z,39.137,25.315,10,3.3,ml,,,,,us,usp0001bj2,2014-11-06T23:24:28.489Z,"Aegean Sea",earthquake
1981-01-01T03:29:36.000Z,17.044,-94.258,122,5.2,mb,,,,,us,usp0001bj3,2014-11-06T23:24:28.489Z,"Oaxaca, Mexico",earthquake
1981-01-01T08:10:06.600Z,36.946,21.09,10,3.6,ml,,,,,us,usp0001bj4,2014-11-06T23:24:28.490Z,"southern Greece",earthquake
1981-01-01T09:00:08.800Z,-17.525,122.744,33,,,,,,,us,usp0001bj5,2014-11-06T23:24:28.491Z,"Western Australia",earthquake
1981-01-01T09:12:44.300Z,-23.717,179.901,461,4.9,mb,,,,,us,usp0001bj6,2014-11-06T23:24:28.492Z,"south of the Fiji Islands",earthquake
1981-01-01T10:16:51.800Z,50.23,7.848,10,2,ml,,,,,us,usp0001bj7,2014-11-06T23:24:28.493Z,"Germany",earthquake
1981-01-01T11:09:23.300Z,39.435,23.861,10,3.2,ml,,,,,us,usp0001bj8,2014-11-06T23:24:28.494Z,"Aegean Sea",earthquake
1981-01-01T12:44:07.300Z,7.779,126.31,23,5.2,mb,,,,,us,usp0001bj9,2014-11-06T23:24:28.495Z,"Mindanao, Philippines",earthquake
1981-01-01T13:13:02.800Z,41.295,68.877,33,4.6,mb,,,,,us,usp0001bja,2014-11-06T23:24:28.496Z,"Kazakhstan-Uzbekistan border region",earthquake
1981-01-01T15:19:33.500Z,43.732,16.79,10,4,ml,,,,,us,usp0001bjb,2014-11-06T23:24:28.497Z,"Croatia",earthquake
1981-01-01T16:27:36.100Z,2.064,-79.315,33,4.5,mb,,,,,us,usp0001bjc,2014-11-06T23:24:28.498Z,"south of Panama",earthquake
1981-01-01T16:46:10.200Z,4.934,-82.7,10,4.6,mb,,,,,us,usp0001bjd,2014-11-06T23:24:28.498Z,"south of Panama",earthquake
1981-01-01T18:22:22.400Z,38.053,-118.57,5,4.2,ml,,,,,us,usp0001bje,2014-11-06T23:24:28.499Z,"Nevada",earthquake
1981-01-01T22:30:07.800Z,30.975,-41.345,10,5,ms,,,,,us,usp0001bjf,2014-11-06T23:24:28.500Z,"northern Mid-Atlantic Ridge",earthquake
1981-01-01T23:09:24.300Z,39.901,13.566,427,4.6,mb,,,,,us,usp0001bjg,2014-11-06T23:24:28.501Z,"Tyrrhenian Sea",earthquake
1981-01-02T00:52:31.300Z,30.922,-41.446,10,4.9,mb,,,,,us,usp0001bjh,2014-11-06T23:24:28.502Z,"northern Mid-Atlantic Ridge",earthquake
1981-01-02T01:10:12.300Z,24.229,121.729,25,4.2,ms,,,,,us,usp0001bjj,2014-11-06T23:24:28.503Z,"Taiwan",earthquake
1981-01-02T04:57:57.900Z,32.73,48.461,33,5.1,mb,,,,,us,usp0001bjk,2015-02-11T17:14:52.000Z,"western Iran",earthquake
1981-01-02T06:07:43.100Z,-6.334,149.231,77,,,,,,,us,usp0001bjm,2014-11-06T23:24:28.505Z,"New Britain region, Papua New Guinea",earthquake
1981-01-02T07:37:01.300Z,2.137,-79.168,33,5.7,ms,,,,,us,usp0001bjn,2015-05-13T18:53:17.000Z,"south of Panama",earthquake
1981-01-02T08:32:19.000Z,-52.988,21.834,10,5.2,mb,,,,,us,usp0001bjp,2014-11-06T23:24:28.507Z,"south of Africa",earthquake
1981-01-02T10:33:48.600Z,16.594,121.79,33,4.6,mb,,,,,us,usp0001bjq,2014-11-06T23:24:28.508Z,"Luzon, Philippines",earthquake
1981-01-02T15:03:09.500Z,36.05,-118.283,6,3.1,ml,,,,,us,usp0001bjr,2014-11-06T23:24:28.509Z,"Central California",earthquake
1981-01-02T15:39:47.300Z,29.244,128.136,242,6.1,mb,,,,,us,usp0001bjs,2015-05-13T18:53:17.000Z,"northwest of the Ryukyu Islands, Japan",earthquake
1981-01-02T18:12:46.100Z,39.775,-120.543,5,3.5,ml,,,,,us,usp0001bjt,2014-11-06T23:24:28.510Z,"Northern California",earthquake
1981-01-02T22:26:20.500Z,44.21,149.153,33,5.5,ms,,,,,us,usp0001bju,2014-11-06T23:24:28.511Z,"Kuril Islands",earthquake
1981-01-02T23:54:45.900Z,28.175,143.289,33,4.9,mb,,,,,us,usp0001bjv,2014-11-06T23:24:28.512Z,"Bonin Islands, Japan region",earthquake
1981-01-03T00:11:10.800Z,38.255,90.164,33,4.4,mb,,,,,us,usp0001bjw,2014-11-06T23:24:28.513Z,"Xinjiang-Qinghai border region, China",earthquake
1981-01-03T00:30:03.100Z,-10.93,121.762,33,4.5,mb,,,,,us,usp0001bjx,2014-11-06T23:24:28.514Z,"Savu Sea",earthquake
1981-01-03T01:23:40.000Z,2.156,-79.232,33,5.7,mb,,,,,us,usp0001bjy,2015-02-11T17:14:52.000Z,"south of Panama",earthquake
1981-01-03T03:12:30.700Z,40.789,27.503,10,,,,,,,us,usp0001bjz,2014-11-06T23:24:28.516Z,"western Turkey",earthquake
1981-01-03T05:46:07.100Z,-29.837,178.909,522,4.6,mb,,,,,us,usp0001bk0,2014-11-06T23:24:28.517Z,"Kermadec Islands region",earthquake
1981-01-03T06:01:48.100Z,37.182,28.706,33,,,,,,,us,usp0001bk1,2014-11-06T23:24:28.518Z,"western Turkey",earthquake
1981-01-03T13:34:44.600Z,34.567,-120.467,13,2.6,ml,,,,,us,usp0001bk2,2014-11-06T23:24:28.519Z,"Central California",earthquake
1981-01-03T13:54:03.100Z,-11.869,166.216,33,5.1,ms,,,,,us,usp0001bk3,2014-11-06T23:24:28.520Z,"Santa Cruz Islands",earthquake
1981-01-03T15:13:05.600Z,38.859,26.212,10,3.4,ml,,,,,us,usp0001bk4,2014-11-06T23:24:28.521Z,"near the coast of western Turkey",earthquake
1981-01-03T15:55:07.200Z,3.017,126.516,84,5.3,mb,,,,,us,usp0001bk5,2014-11-06T23:24:28.522Z,"Kepulauan Talaud, Indonesia",earthquake
1981-01-03T17:05:21.500Z,40.933,21.182,10,,,,,,,us,usp0001bk6,2014-11-06T23:24:28.523Z,"Macedonia",earthquake
1981-01-03T17:56:02.500Z,-5.305,150.687,160,5.4,mb,,,,,us,usp0001bk7,2015-02-11T17:14:52.000Z,"New Britain region, Papua New Guinea",earthquake
1981-01-03T19:05:57.500Z,59.608,-153.278,131,,,,,,,us,usp0001bk8,2014-11-06T23:24:28.524Z,"Southern Alaska",earthquake
1981-01-03T19:09:50.800Z,-9.841,160.433,32,5.6,mb,,,,,us,usp0001bk9,2015-05-13T18:53:17.000Z,"Solomon Islands",earthquake
1981-01-03T20:54:08.900Z,-34.537,178.953,191,5.1,mb,,,,,us,usp0001bka,2015-02-11T17:14:52.000Z,"south of the Kermadec Islands",earthquake
1981-01-03T23:58:13.100Z,-24.561,-67.798,124,4.7,mb,,,,,us,usp0001bkb,2014-11-06T23:24:28.528Z,"Salta, Argentina",earthquake
