time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2001-01-01T00:32:46.230Z,45.613,26.479,125,,,17,,,0.69,us,usp000a709,2014-11-07T01:11:49.008Z,"Romania",earthquake
2001-01-01T00:52:17.360Z,55.579,-159.704,56.2,3.3,ml,17,,,,us,usp000a70a,2014-11-07T01:11:49.543Z,"Alaska Peninsula",earthquake
2001-01-01T01:15:10.720Z,18.182,-67.133,23.2,2.6,ml,4,,,,us,usp000a70b,2014-11-07T01:11:49.562Z,"Puerto Rico",earthquake
2001-01-01T03:06:16.670Z,34.06,-116.712,13.8,2.8,ml,11,,,,us,usp000a70c,2014-11-07T01:11:49.572Z,"Southern California",earthquake
2001-01-01T03:22:45.080Z,35.701,-118.231,13.2,2.9,ml,11,,,,us,usp000a70d,2014-11-07T01:11:49.583Z,"Central California",earthquake
2001-01-01T03:37:37.210Z,-24.199,-179.638,474.4,4.7,mb,100,,,0.81,us,usp000a70e,2014-11-07T01:11:49.595Z,"south of the Fiji Islands",earthquake
2001-01-01T03:48:35.650Z,18.879,121.238,33,5.3,mwc,71,,,0.9,us,usp000a70f,2015-02-11T17:17:11.000Z,"Luzon, Philippines",earthquake
2001-01-01T05:14:05.690Z,27.426,52.954,33,4.6,mb,22,,,0.99,us,usp000a70g,2014-11-07T01:11:49.796Z,"southern Iran",earthquake
2001-01-01T06:57:04.170Z,6.898,126.579,33,7.5,mwc,324,,,1.06,us,usp000a70h,2015-06-30T16:59:02.708Z,"Mindanao, Philippines",earthquake
2001-01-01T07:03:37.520Z,66.049,-149.353,136.3,,,8,,,,us,usp000a70j,2014-11-07T01:11:50.165Z,"northern Alaska",earthquake
2001-01-01T07:11:40.400Z,-38.79,176.2,81,3.8,ml,16,,,,us,usp000a70k,2014-11-07T01:11:50.171Z,"North Island of New Zealand",earthquake
2001-01-01T07:32:43.880Z,7.081,126.796,33,4.8,mb,8,,,0.95,us,usp000a70m,2014-11-07T01:11:50.179Z,"Mindanao, Philippines",earthquake
2001-01-01T08:03:24.500Z,45.318,8.889,2,2.8,ml,4,,,,us,usp000a70n,2014-11-07T01:11:50.185Z,"northern Italy",earthquake
2001-01-01T08:36:53.150Z,6.71,126.726,33,5,mb,36,,,0.92,us,usp000a70p,2014-11-07T01:11:50.190Z,"Mindanao, Philippines",earthquake
2001-01-01T08:54:31.580Z,6.631,126.899,33,6.8,mwc,64,,,0.94,us,usp000a70q,2015-05-13T18:53:43.000Z,"Mindanao, Philippines",earthquake
2001-01-01T08:57:58.940Z,44.994,7.165,8.3,2.6,ml,25,,,,us,usp000a70r,2014-11-07T01:11:50.264Z,"northern Italy",earthquake
2001-01-01T09:06:29.800Z,34.99,23.63,5,3.2,md,4,,,,us,usp000a70s,2014-11-07T01:11:50.281Z,"Crete, Greece",earthquake
2001-01-01T09:09:37.500Z,37.4,23.76,10,2.9,ml,7,,,,us,usp000a70t,2014-11-07T01:11:50.285Z,"southern Greece",earthquake
2001-01-01T09:12:25.920Z,6.577,126.859,33,4.9,mb,17,,,0.89,us,usp000a70u,2014-11-07T01:11:50.290Z,"Mindanao, Philippines",earthquake
2001-01-01T09:20:11.440Z,6.636,126.803,33,5,mb,27,,,1.14,us,usp000a70v,2014-11-07T01:11:50.299Z,"Mindanao, Philippines",earthquake
2001-01-01T09:25:33.020Z,-3.788,150.634,33,4.8,mb,11,,,1.17,us,usp000a70w,2014-11-07T01:11:50.320Z,"New Ireland region, Papua New Guinea",earthquake
2001-01-01T09:26:50.920Z,11.261,-61.35,63,2.3,md,4,,,,us,usp000a70x,2014-11-07T01:11:50.326Z,"Trinidad region, Trinidad and Tobago",earthquake
2001-01-01T09:28:01.420Z,-18.354,167.992,33,4.6,mb,25,,,1.25,us,usp000a70y,2014-11-07T01:11:50.330Z,"Vanuatu",earthquake
2001-01-01T09:34:29.770Z,6.813,126.766,33,5.1,mb,30,,,0.86,us,usp000a70z,2014-11-07T01:11:50.345Z,"Mindanao, Philippines",earthquake
2001-01-01T09:51:05.590Z,18.221,-67.127,23.3,2.5,ml,4,,,,us,usp000a710,2014-11-07T01:11:50.360Z,"Puerto Rico",earthquake
2001-01-01T10:45:16.000Z,-34.025,-70.652,97.9,2.4,md,10,,,,us,usp000a711,2014-11-07T01:11:50.365Z,"Libertador General Bernardo O'Higgins, Chile",earthquake
2001-01-01T10:54:55.150Z,33.157,-115.635,1.3,3,ml,5,,,,us,usp000a712,2014-11-07T01:11:50.374Z,"Southern California",earthquake
2001-01-01T11:58:53.300Z,-39.63,178.66,12,3.8,ml,11,,,,us,usp000a713,2014-11-07T01:11:50.378Z,"off the east coast of the North Island of New Zealand",earthquake
2001-01-01T12:02:27.800Z,46.789,1.314,6,3,ml,13,,,,us,usp000a714,2014-11-07T01:11:50.387Z,"France",earthquake
2001-01-01T12:19:45.550Z,6.649,127.199,33,4.4,mb,6,,,0.54,us,usp000a715,2014-11-07T01:11:50.403Z,"Philippine Islands region",earthquake
