time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1971-02-01T05:19:24.000Z,51.557,-173.044,35,6.1,mw,,,,,iscgem,iscgem786793,2015-05-13T18:53:05.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-02T15:18:22.000Z,-21.258,-175.433,85,5.6,mw,,,,,iscgem,iscgem786840,2015-05-13T18:53:05.000Z,"Tonga",earthquake
1971-02-03T19:48:10.000Z,17.914,147.046,40,5.6,mw,,,,,iscgem,iscgem786869,2015-05-13T18:53:05.000Z,"Mariana Islands region",earthquake
1971-02-04T15:33:29.000Z,0.653,98.711,30,7,mw,,,,,iscgem,iscgem786889,2015-05-13T18:53:05.000Z,"Nias region, Indonesia",earthquake
1971-02-05T07:33:27.000Z,51.62,-131.133,15,5.9,mw,,,,,iscgem,iscgem786908,2015-05-13T18:53:05.000Z,"Haida Gwaii Region, Canada",earthquake
1971-02-06T01:30:32.000Z,-49.935,-115.51,15,5.9,mw,,,,,iscgem,iscgem786923,2015-05-13T18:53:05.000Z,"southern East Pacific Rise",earthquake
1971-02-06T08:17:48.000Z,2.236,126.828,20,5.9,mw,,,,,iscgem,iscgem786928,2015-05-13T18:53:05.000Z,"Molucca Sea",earthquake
1971-02-06T10:43:02.000Z,47.019,154.145,25,5.8,mw,,,,,iscgemsup,iscgemsup786932,2015-07-13T17:02:24.000Z,"Kuril Islands",earthquake
1971-02-07T02:29:30.000Z,51.409,-176.974,28.9,7,mw,,,,,iscgem,iscgem786954,2015-05-13T18:53:05.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-07T02:42:03.000Z,51.145,-177.086,25,5.9,mw,,,,,iscgem,iscgem786955,2015-05-13T18:53:05.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-07T02:53:09.000Z,51.162,-176.975,25,5.6,mw,,,,,iscgem,iscgem786957,2015-05-13T18:53:05.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-08T21:04:20.000Z,-63.398,-61.377,12.5,7,mw,,,,,iscgem,iscgem787022,2015-05-13T18:53:05.000Z,"South Shetland Islands",earthquake
1971-02-09T14:00:41.000Z,34.254,-118.442,10,6.7,mw,,,,,iscgem,iscgem787038,2015-05-13T18:53:05.000Z,"Greater Los Angeles area, California",earthquake
1971-02-12T19:06:56.000Z,-6.369,146.457,128.4,5.8,mw,,,,,iscgem,iscgem787339,2015-05-13T18:53:05.000Z,"eastern New Guinea region, Papua New Guinea",earthquake
1971-02-12T23:33:19.000Z,1.393,121.187,65,5.5,mw,,,,,iscgem,iscgem787343,2015-05-13T18:53:05.000Z,"Minahasa, Sulawesi, Indonesia",earthquake
1971-02-13T22:09:41.000Z,-6.127,146.248,110,5.7,mw,,,,,iscgem,iscgem787364,2015-05-13T18:53:05.000Z,"eastern New Guinea region, Papua New Guinea",earthquake
1971-02-14T16:27:35.000Z,36.565,55.762,18.5,5.8,mw,,,,,iscgem,iscgem787393,2015-05-13T18:53:05.000Z,"northern Iran",earthquake
1971-02-15T07:51:03.000Z,-25.204,178.405,587.2,6.5,mw,,,,,iscgem,iscgem787413,2015-05-13T18:53:05.000Z,"south of the Fiji Islands",earthquake
1971-02-16T14:26:10.000Z,24.112,122.238,30,5.8,mw,,,,,iscgem,iscgem787446,2015-05-13T18:53:05.000Z,"Taiwan region",earthquake
1971-02-18T07:47:30.000Z,-36.775,-73.276,28.4,5.7,mw,,,,,iscgem,iscgem787485,2015-05-13T18:53:05.000Z,"offshore Bio-Bio, Chile",earthquake
1971-02-21T10:35:22.000Z,-23.804,-67.151,183.7,6.9,mw,,,,,iscgem,iscgem787582,2015-05-13T18:53:05.000Z,"Jujuy, Argentina",earthquake
1971-02-23T19:41:25.000Z,39.639,27.379,10,5.6,mw,,,,,iscgem,iscgem787639,2015-05-13T18:53:05.000Z,"western Turkey",earthquake
1971-02-25T14:36:02.000Z,5.89,126.715,85,5.8,mw,,,,,iscgem,iscgem787701,2015-05-13T18:53:05.000Z,"Mindanao, Philippines",earthquake
1971-02-25T19:27:52.000Z,37.159,138.374,19.2,5.6,mw,,,,,iscgem,iscgem787709,2015-05-13T18:53:05.000Z,"near the west coast of Honshu, Japan",earthquake
1971-02-25T22:14:19.000Z,3.274,95.86,30,5.7,mw,,,,,iscgem,iscgem787713,2015-05-13T18:53:05.000Z,"off the west coast of northern Sumatra",earthquake
1971-02-26T04:55:51.000Z,-10.452,161.423,98.4,6,mw,,,,,iscgem,iscgem787722,2015-05-13T18:53:05.000Z,"Solomon Islands",earthquake
