time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1998-02-01T00:23:38.030Z,44.347,7.272,12.1,2.2,ml,,,,,us,usp0008f93,2014-11-07T01:04:25.860Z,"northern Italy",earthquake
1998-02-01T00:43:51.200Z,43,-0.3,2,2.2,ml,,,,,us,usp0008f94,2014-11-07T01:04:26.390Z,"Pyrenees",earthquake
1998-02-01T00:44:18.920Z,-6.45,130.085,133.5,3.8,mb,,,,0.99,us,usp0008f95,2014-11-07T01:04:26.399Z,"Banda Sea",earthquake
1998-02-01T01:01:43.290Z,-33.687,-178.661,33,4.7,mb,,,,1.05,us,usp0008f96,2014-11-07T01:04:26.415Z,"south of the Kermadec Islands",earthquake
1998-02-01T01:18:09.480Z,-49.995,-6.292,10,4.8,mb,,,,0.66,us,usp0008f97,2014-11-07T01:04:26.446Z,"southern Mid-Atlantic Ridge",earthquake
1998-02-01T02:09:21.900Z,37.981,-112.628,5,3,mb,,,,0.94,us,usp0008f98,2014-11-07T01:04:26.467Z,"Utah",earthquake
1998-02-01T02:16:57.340Z,38.02,-112.634,5,3.2,ml,,,,1.01,us,usp0008f99,2014-11-07T01:04:26.488Z,"Utah",earthquake
1998-02-01T02:42:15.040Z,43.792,147.203,75.1,4.7,mb,,,,0.96,us,usp0008f9a,2014-11-07T01:04:26.506Z,"Kuril Islands",earthquake
1998-02-01T02:44:59.540Z,11.638,93.083,33,4.3,mb,,,,0.85,us,usp0008f9b,2014-11-07T01:04:26.579Z,"Andaman Islands, India region",earthquake
1998-02-01T03:05:53.030Z,12.064,-88.045,33,4.1,mb,,,,1,us,usp0008f9c,2014-11-07T01:04:26.587Z,"off the coast of Central America",earthquake
1998-02-01T03:16:03.860Z,44.29,7.336,13.1,2.1,ml,,,,,us,usp0008f9d,2014-11-07T01:04:26.597Z,"northern Italy",earthquake
1998-02-01T04:23:53.380Z,31.969,49.943,33,3.6,mb,,,,0.92,us,usp0008f9e,2014-11-07T01:04:26.609Z,"western Iran",earthquake
1998-02-01T04:31:15.490Z,-4.755,152.533,100.1,4.4,mb,,,,0.71,us,usp0008f9f,2014-11-07T01:04:26.618Z,"New Britain region, Papua New Guinea",earthquake
1998-02-01T04:39:50.600Z,47.3,-3,2,2.9,ml,,,,,us,usp0008f9g,2014-11-07T01:04:26.638Z,"France",earthquake
