time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2000-12-01T00:01:09.100Z,36.051,-114.98,6,3,ml,14,,,,us,usp000a5a0,2014-11-07T01:11:36.757Z,"Las Vegas urban area, Nevada",earthquake
2000-12-01T00:07:46.810Z,-5.788,152.052,33,5.2,mb,41,,,0.97,us,usp000a5a1,2014-11-07T01:11:37.292Z,"New Britain region, Papua New Guinea",earthquake
2000-12-01T01:39:58.300Z,40.491,0.079,0,1.7,mblg,4,,,,us,usp000a5a2,2014-11-07T01:11:37.341Z,"Spain",earthquake
2000-12-01T01:47:45.610Z,63.977,-150.114,35.4,3,ml,20,,,,us,usp000a5a3,2014-11-07T01:11:37.351Z,"Central Alaska",earthquake
2000-12-01T02:19:26.700Z,38.1,23.75,5,2.6,md,4,,,,us,usp000a5a4,2014-11-07T01:11:37.372Z,"Greece",earthquake
2000-12-01T02:24:30.140Z,-5.229,153.573,33,,,6,,,0.8,us,usp000a5a5,2014-11-07T01:11:37.379Z,"New Ireland region, Papua New Guinea",earthquake
2000-12-01T02:42:34.200Z,-36.083,-71.264,143.9,3.6,md,10,,,,us,usp000a5a6,2014-11-07T01:11:37.391Z,"Maule, Chile",earthquake
2000-12-01T02:52:26.130Z,-4.195,153.678,33,4.8,mb,12,,,1.6,us,usp000a5a7,2014-11-07T01:11:37.406Z,"New Ireland region, Papua New Guinea",earthquake
2000-12-01T03:06:04.770Z,42.672,-7.088,2.3,2.6,mblg,9,,,,us,usp000a5a8,2014-11-07T01:11:37.419Z,"Spain",earthquake
2000-12-01T03:15:04.720Z,51.54,177.589,65.8,4.6,mb,76,,,0.96,us,usp000a5a9,2014-11-07T01:11:37.437Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
2000-12-01T03:52:57.650Z,39.915,22.485,3,2.7,md,11,,,,us,usp000a5aa,2014-11-07T01:11:37.501Z,"Greece",earthquake
2000-12-01T03:55:49.730Z,-6.602,153.625,33,4.1,mb,9,,,0.73,us,usp000a5ab,2014-11-07T01:11:37.514Z,"New Britain region, Papua New Guinea",earthquake
2000-12-01T04:10:12.440Z,-19.833,-177.698,447.6,4.4,mb,42,,,0.8,us,usp000a5ac,2014-11-07T01:11:37.524Z,"Fiji region",earthquake
2000-12-01T04:53:51.820Z,-21.715,-175.312,33,5.2,mwc,22,,,1.25,us,usp000a5ad,2015-02-11T17:17:10.000Z,"Tonga",earthquake
2000-12-01T04:55:18.550Z,-15.243,-72.114,128.9,,,7,,,1.01,us,usp000a5ae,2014-11-07T01:11:37.603Z,"southern Peru",earthquake
2000-12-01T05:20:47.910Z,19.23,-71.178,10,,,8,,,1.25,us,usp000a5af,2014-11-07T01:11:37.611Z,"Dominican Republic",earthquake
2000-12-01T06:27:09.840Z,19.635,-67.08,74.6,3.5,md,7,,,,us,usp000a5ag,2014-11-07T01:11:37.619Z,"Puerto Rico region",earthquake
2000-12-01T08:50:37.610Z,-20.424,-68.992,121.6,,,6,,,1.36,us,usp000a5ah,2014-11-07T01:11:37.630Z,"Tarapaca, Chile",earthquake
2000-12-01T09:02:02.160Z,-26.696,-71.511,33,4.5,md,13,,,1.4,us,usp000a5aj,2014-11-07T01:11:37.639Z,"offshore Atacama, Chile",earthquake
2000-12-01T09:17:47.850Z,41.08,23.27,0,2.4,ml,7,,,,us,usp000a5ak,2014-11-07T01:11:37.656Z,"Greece-Bulgaria border region",earthquake
2000-12-01T09:24:37.140Z,36.376,-4.521,92.6,,,12,,,,us,usp000a5am,2014-11-07T01:11:37.666Z,"Strait of Gibraltar",earthquake
2000-12-01T10:17:22.550Z,65.343,-139.376,10,4,ml,17,,,0.74,us,usp000a5an,2014-11-07T01:11:37.679Z,"northern Yukon Territory, Canada",earthquake
2000-12-01T10:25:28.760Z,-4.223,152.951,33,4.9,mb,33,,,1.22,us,usp000a5ap,2014-11-07T01:11:37.712Z,"New Britain region, Papua New Guinea",earthquake
2000-12-01T11:00:18.370Z,18.56,-66.685,86.7,3.1,md,8,,,,us,usp000a5aq,2014-11-07T01:11:37.756Z,"Puerto Rico region",earthquake
2000-12-01T11:52:53.400Z,46.995,-2.051,3,3.4,ml,23,,,,us,usp000a5ar,2014-11-07T01:11:37.768Z,"Bay of Biscay",earthquake
2000-12-01T12:16:02.720Z,43.174,-110.745,5,3.2,ml,21,,,0.89,us,usp000a5as,2014-11-07T01:11:37.809Z,"Wyoming",earthquake
2000-12-01T12:55:43.580Z,45.74,2.36,2,2.2,ml,4,,,,us,usp000a5at,2014-11-07T01:11:37.832Z,"France",earthquake
2000-12-01T13:03:08.350Z,63.148,-151.686,10,4.1,ml,27,,,0.95,us,usp000a5au,2014-11-07T01:11:37.837Z,"Central Alaska",earthquake
2000-12-01T13:27:33.690Z,35.255,-35.328,10,5.8,mwc,184,,,1.14,us,usp000a5av,2015-05-13T18:53:43.000Z,"northern Mid-Atlantic Ridge",earthquake
