time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-02-01T00:38:06.640Z,18.208,-67.057,19.5,2.6,md,13,73.1,,,us,usp000je7w,2014-11-07T01:46:53.728Z,"Puerto Rico",earthquake
2012-02-01T00:51:03.000Z,33.783,-116.165,6.6,2.4,ml,13,78.6,,,us,usp000je7x,2015-01-30T01:44:32.601Z,"Southern California",earthquake
2012-02-01T01:29:24.860Z,-10.802,165.901,35,5.3,mb,45,81.5,,1.02,us,usp000je7y,2014-11-07T01:46:54.275Z,"Santa Cruz Islands",earthquake
2012-02-01T01:41:08.980Z,53.111,-166.506,35.8,2.8,ml,17,228.7,,,us,usp000je7z,2014-11-07T01:46:54.322Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-02-01T01:54:58.660Z,33.742,138.77,10,4.5,mb,40,59.8,,1.24,us,usp000je80,2014-11-07T01:46:54.340Z,"Izu Islands, Japan region",earthquake
2012-02-01T02:36:11.850Z,18.868,-64.499,41.7,3.6,md,10,292.7,,,us,usp000je81,2014-11-07T01:46:54.379Z,"Virgin Islands region",earthquake
2012-02-01T02:43:19.000Z,-32.678,-71.336,52.1,4.8,mb,50,115.9,,,us,usp000je82,2014-11-07T01:46:54.396Z,"Valparaiso, Chile",earthquake
2012-02-01T04:26:14.450Z,11.61,125.615,10,5,mb,67,85.2,,0.79,us,usp000je83,2014-11-07T01:46:54.440Z,"Samar, Philippines",earthquake
2012-02-01T04:30:47.110Z,11.6,125.557,10,5.3,mb,217,28.9,,0.82,us,usp000je84,2014-11-07T01:46:54.492Z,"Samar, Philippines",earthquake
2012-02-01T04:37:24.030Z,51.649,95.949,10,4.4,mb,33,98.6,,1.22,us,usp000je85,2014-11-07T01:46:54.651Z,"southwestern Siberia, Russia",earthquake
2012-02-01T04:39:11.720Z,11.599,125.563,10,4.8,mb,95,81.6,,0.83,us,usp000je86,2014-11-07T01:46:54.675Z,"Samar, Philippines",earthquake
2012-02-01T04:49:46.210Z,-8.596,-79.96,46,4.8,mb,79,77.3,,1.11,us,usp000je87,2015-03-24T02:24:28.483Z,"near the coast of northern Peru",earthquake
2012-02-01T05:11:13.450Z,-35.31,178.396,215.3,4,ml,20,336.3,,,us,usp000je88,2014-11-07T01:46:54.780Z,"off the east coast of the North Island of New Zealand",earthquake
2012-02-01T06:20:55.360Z,2.612,93.069,22.4,4.7,mb,86,152.3,,0.79,us,usp000je89,2014-11-07T01:46:54.792Z,"off the west coast of northern Sumatra",earthquake
2012-02-01T06:25:20.640Z,34.906,-110.929,4.9,2.6,ml,27,53,,0.79,us,usp000je8a,2014-11-07T01:46:54.833Z,"Arizona",earthquake
2012-02-01T06:42:10.940Z,-15.003,-177.815,366.3,4.7,mb,190,67.6,,0.66,us,usp000je8b,2014-11-07T01:46:54.853Z,"Fiji region",earthquake
2012-02-01T06:50:09.040Z,3.271,127.631,10,4.5,mb,30,107.5,,0.98,us,usp000je8c,2014-11-07T01:46:54.938Z,"Kepulauan Talaud, Indonesia",earthquake
2012-02-01T07:14:29.100Z,-3.676,102.203,80.3,5.4,mwc,380,18.1,,0.9,us,usp000je8d,2015-03-24T02:31:07.189Z,"southern Sumatra, Indonesia",earthquake
2012-02-01T07:43:12.050Z,58.451,-150.486,12.8,2.9,ml,36,184.5,,,us,usp000je8e,2014-11-07T01:46:55.184Z,"Gulf of Alaska",earthquake
2012-02-01T07:51:15.400Z,11.578,125.559,87.4,4.5,mb,43,108.6,,0.66,us,usp000je8f,2014-11-07T01:46:55.196Z,"Samar, Philippines",earthquake
2012-02-01T08:07:01.790Z,59.889,-152.461,84.2,2.9,ml,66,61.9,,,us,usp000je8g,2014-11-07T01:46:55.213Z,"Southern Alaska",earthquake
2012-02-01T08:11:05.460Z,8.252,-39.494,10,4.7,mb,30,117.8,,0.82,us,usp000je8h,2014-11-07T01:46:55.234Z,"central Mid-Atlantic Ridge",earthquake
2012-02-01T08:26:31.640Z,50.804,-101.809,1,4.1,mb,65,42.9,,,us,usp000je8j,2015-03-24T02:25:15.961Z,"Manitoba, Canada",earthquake
