time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2003-01-01T00:14:10.600Z,-48.127,-9.789,10,5.6,mwc,61,,,1.16,us,usp000bmuc,2015-05-13T18:53:45.000Z,"southern Mid-Atlantic Ridge",earthquake
2003-01-01T00:18:43.890Z,8.166,-82.903,33,4.6,mb,41,,,1.23,us,usp000bmud,2014-11-07T01:17:28.951Z,"Panama-Costa Rica border region",earthquake
2003-01-01T00:21:01.600Z,36.7,25.62,5,3.5,ml,4,,,,us,usp000bmue,2014-11-07T01:17:28.998Z,"Dodecanese Islands, Greece",earthquake
2003-01-01T00:45:04.950Z,-3.827,134.561,10,4.5,mb,19,,,0.77,us,usp000bmuf,2014-11-07T01:17:29.004Z,"Papua, Indonesia",earthquake
2003-01-01T00:51:44.670Z,33.367,-119.131,7,3.5,ml,12,,,,us,usp000bmug,2014-11-07T01:17:29.026Z,"Channel Islands region, California",earthquake
2003-01-01T00:55:55.880Z,36.132,2.911,10,4.8,mb,132,,,1.04,us,usp000bmuh,2014-11-07T01:17:29.038Z,"northern Algeria",earthquake
2003-01-01T01:13:12.390Z,-8.281,117.047,33,4.2,mb,12,,,0.96,us,usp000bmuj,2014-11-07T01:17:29.267Z,"Sumbawa region, Indonesia",earthquake
2003-01-01T01:33:21.750Z,52.882,160,47.3,4.8,mb,133,,,0.97,us,usp000bmuk,2014-11-07T01:17:29.300Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake
2003-01-01T01:56:48.000Z,31.801,49.445,33,4.7,mb,32,,,0.74,us,usp000bmum,2014-11-07T01:17:29.383Z,"western Iran",earthquake
2003-01-01T02:15:13.800Z,-31.194,-69.469,159,3.1,md,6,,,,us,usp000bmun,2014-11-07T01:17:29.403Z,"San Juan, Argentina",earthquake
2003-01-01T02:16:10.900Z,18.181,-66.193,34.9,2.8,md,4,,,,us,usp000bmup,2014-11-07T01:17:29.410Z,"Puerto Rico",earthquake
2003-01-01T02:59:20.100Z,-30.403,-71.597,30.7,3.2,md,4,,,,us,usp000bmuq,2014-11-07T01:17:29.416Z,"Coquimbo, Chile",earthquake
2003-01-01T03:17:58.600Z,35.15,24.28,11,3.3,md,6,,,,us,usp000bmur,2014-11-07T01:17:29.421Z,"Crete, Greece",earthquake
2003-01-01T03:39:48.800Z,38.91,21.24,22,3.3,md,9,,,,us,usp000bmus,2014-11-07T01:17:29.427Z,"Greece",earthquake
2003-01-01T03:43:11.200Z,40.21,23.41,10,3.2,md,9,,,,us,usp000bmut,2014-11-07T01:17:29.463Z,"Greece",earthquake
2003-01-01T03:53:26.140Z,43.49,139.191,235.7,4,mb,20,,,1,us,usp000bmuu,2014-11-07T01:17:29.469Z,"eastern Sea of Japan",earthquake
2003-01-01T04:01:27.500Z,42.642,15.696,10,2.8,md,6,,,,us,usp000bmuv,2014-11-07T01:17:29.500Z,"Adriatic Sea",earthquake
2003-01-01T04:03:29.900Z,38.91,21.09,15,3,md,4,,,,us,usp000bmuw,2014-11-07T01:17:29.507Z,"Greece",earthquake
2003-01-01T04:10:17.870Z,12.824,-90.254,33,3.8,mb,8,,,0.51,us,usp000bmux,2014-11-07T01:17:29.511Z,"offshore El Salvador",earthquake
2003-01-01T04:14:37.410Z,36.354,70.734,200,3.9,mb,16,,,0.76,us,usp000bmuy,2014-11-07T01:17:29.520Z,"Hindu Kush region, Afghanistan",earthquake
2003-01-01T04:15:48.130Z,14.201,-89.937,161.1,3.5,mb,10,,,1.42,us,usp000bmuz,2014-11-07T01:17:29.528Z,"Guatemala",earthquake
2003-01-01T04:35:44.400Z,-30.753,-71.419,40.7,3.5,md,4,,,,us,usp000bmv0,2014-11-07T01:17:29.536Z,"Coquimbo, Chile",earthquake
2003-01-01T05:33:04.660Z,44.528,7.478,13,2.3,ml,21,,,,us,usp000bmv1,2014-11-07T01:17:29.541Z,"northern Italy",earthquake
2003-01-01T06:07:20.100Z,-32.252,-71.719,12.4,3.4,md,14,,,,us,usp000bmv2,2014-11-07T01:17:29.569Z,"offshore Valparaiso, Chile",earthquake
2003-01-01T06:23:08.620Z,-7.99,119.909,168.9,5.3,mwc,129,,,0.9,us,usp000bmv3,2015-02-11T17:17:29.000Z,"Flores Sea",earthquake
2003-01-01T06:42:17.840Z,51.643,151.343,480.6,,,13,,,1.14,us,usp000bmv4,2014-11-07T01:17:29.662Z,"Sea of Okhotsk",earthquake
2003-01-01T06:52:58.090Z,44.69,7.398,14.7,2.4,ml,20,,,,us,usp000bmv5,2014-11-07T01:17:29.670Z,"northern Italy",earthquake
2003-01-01T06:55:50.700Z,-38.89,175.5,125,,,32,,,,us,usp000bmv6,2014-11-07T01:17:29.683Z,"North Island of New Zealand",earthquake
2003-01-01T07:43:37.910Z,39.155,-106.759,5,2.9,ml,7,,,0.98,us,usp000bmv7,2014-11-07T01:17:29.697Z,"Colorado",earthquake
