time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1994-05-01T00:48:29.190Z,-17.879,168.561,148.3,4.2,mb,,,,0.9,us,usp0006bv3,2014-11-07T00:55:22.949Z,"Vanuatu",earthquake
1994-05-01T00:59:38.340Z,47.489,149.793,271.7,5.4,mw,,,,0.9,us,usp0006bv4,2015-02-11T17:16:16.000Z,"northwest of the Kuril Islands",earthquake
1994-05-01T02:42:15.610Z,60.047,2.646,10,2.4,md,,,,0.1,us,usp0006bv5,2014-11-07T00:55:23.764Z,"North Sea",earthquake
1994-05-01T04:03:24.610Z,17.933,-64.697,162.1,4.3,mb,,,,0.8,us,usp0006bv6,2014-11-07T00:55:23.772Z,"Virgin Islands region",earthquake
1994-05-01T04:04:46.840Z,47.264,11.582,10,3.2,ml,,,,1.2,us,usp0006bv7,2014-11-07T00:55:23.801Z,"Austria",earthquake
1994-05-01T04:47:57.800Z,39.15,26.242,10,3.3,ml,,,,0.1,us,usp0006bv8,2014-11-07T00:55:23.846Z,"near the coast of western Turkey",earthquake
1994-05-01T05:33:36.410Z,35.384,-3.956,33,3.5,md,,,,1,us,usp0006bv9,2014-11-07T00:55:23.853Z,"Strait of Gibraltar",earthquake
1994-05-01T05:41:38.680Z,35.326,-3.986,10,2.9,mblg,,,,0.9,us,usp0006bva,2014-11-07T00:55:23.876Z,"Strait of Gibraltar",earthquake
1994-05-01T06:31:20.170Z,35.347,-4.056,10,4.2,mb,,,,1,us,usp0006bvb,2014-11-07T00:55:23.894Z,"Strait of Gibraltar",earthquake
1994-05-01T06:47:21.280Z,35.264,-3.98,10,3.3,mblg,,,,0.8,us,usp0006bvc,2014-11-07T00:55:23.937Z,"Strait of Gibraltar",earthquake
1994-05-01T07:20:57.390Z,39.126,27.596,10,2.8,ml,,,,0.2,us,usp0006bvd,2014-11-07T00:55:23.953Z,"western Turkey",earthquake
1994-05-01T07:35:36.440Z,39.677,29.466,10,2.7,ml,,,,0.4,us,usp0006bve,2014-11-07T00:55:23.958Z,"western Turkey",earthquake
1994-05-01T07:50:51.140Z,39.159,27.645,10,2.8,ml,,,,0.1,us,usp0006bvf,2014-11-07T00:55:23.965Z,"western Turkey",earthquake
1994-05-01T08:09:15.710Z,39.175,27.404,10,2.8,ml,,,,0.1,us,usp0006bvg,2014-11-07T00:55:23.971Z,"western Turkey",earthquake
1994-05-01T08:10:55.400Z,-32.551,-69.686,121.4,4.6,mb,,,,0.6,us,usp0006bvh,2014-11-07T00:55:23.975Z,"Mendoza, Argentina",earthquake
1994-05-01T08:20:17.880Z,39.903,21.438,10,2.4,ml,,,,0.8,us,usp0006bvj,2014-11-07T00:55:24.004Z,"Greece",earthquake
1994-05-01T08:32:39.110Z,36.498,-2.868,10,2.9,mblg,,,,0.6,us,usp0006bvk,2014-11-07T00:55:24.011Z,"Strait of Gibraltar",earthquake
1994-05-01T08:36:50.660Z,-3.111,146.219,33,4.7,mb,,,,1.2,us,usp0006bvm,2014-11-07T00:55:24.024Z,"Bismarck Sea",earthquake
1994-05-01T08:41:27.370Z,35.343,-3.998,10,3.5,mblg,,,,0.8,us,usp0006bvn,2014-11-07T00:55:24.033Z,"Strait of Gibraltar",earthquake
