time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1987-01-01T00:25:36.320Z,39.553,28.785,10,,,,,,0.6,us,usp00031at,2014-11-07T00:39:33.719Z,"western Turkey",earthquake
1987-01-01T01:01:02.710Z,-16.853,-75.445,33,,,,,,1.4,us,usp00031au,2014-11-07T00:39:34.439Z,"off the coast of southern Peru",earthquake
1987-01-01T01:58:21.310Z,-6.726,-76.728,33,4.8,mb,,,,1.4,us,usp00031av,2014-11-07T00:39:34.466Z,"northern Peru",earthquake
1987-01-01T03:19:14.950Z,51.295,16.048,10,3,ml,,,,0.4,us,usp00031aw,2014-11-07T00:39:34.504Z,"Poland",earthquake
1987-01-01T04:01:53.700Z,49.55,156.111,39.1,4.5,mb,,,,1.4,us,usp00031ax,2014-11-07T00:39:34.534Z,"Kuril Islands",earthquake
1987-01-01T04:31:44.540Z,24.492,63.195,33,4.6,mb,,,,1,us,usp00031ay,2014-11-07T00:39:34.584Z,"off the coast of Pakistan",earthquake
1987-01-01T04:55:35.570Z,44.48,148.136,33,4.7,mb,,,,1.1,us,usp00031az,2014-11-07T00:39:34.599Z,"Kuril Islands",earthquake
1987-01-01T06:07:26.470Z,-4.687,153.063,56.2,5.1,mb,,,,0.9,us,usp00031b0,2014-11-07T00:39:34.628Z,"New Ireland region, Papua New Guinea",earthquake
1987-01-01T07:22:44.670Z,10.955,123.986,33,4.3,mb,,,,1.2,us,usp00031b1,2014-11-07T00:39:34.743Z,"Negros - Cebu region, Philippines",earthquake
1987-01-01T07:24:21.000Z,63.194,-150.6,48.5,,,,,,,us,usp00031b2,2014-11-07T00:39:34.767Z,"Central Alaska",earthquake
1987-01-01T08:02:24.070Z,42.788,-103.482,5,3.5,mblg,,,,1.6,us,usp00031b3,2014-11-07T00:39:34.798Z,"Nebraska",earthquake
1987-01-01T08:25:06.400Z,34.03,-116.65,12,3.3,ml,,,,,us,usp00031b4,2014-11-07T00:39:34.813Z,"Southern California",earthquake
1987-01-01T09:20:13.380Z,-23.789,-176.658,133.4,4.3,mb,,,,1,us,usp00031b5,2014-11-07T00:39:34.838Z,"south of the Fiji Islands",earthquake
1987-01-01T10:25:35.830Z,43.065,-127.027,10,4,mb,,,,1.1,us,usp00031b6,2014-11-07T00:39:34.862Z,"off the coast of Oregon",earthquake
