time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1973-03-01T00:43:16.300Z,1.364,-29.516,33,4.6,mb,,,,,us,usp00000sh,2014-11-06T23:21:09.634Z,"central Mid-Atlantic Ridge",earthquake
1973-03-01T02:19:03.100Z,49.884,157.295,30,5.5,mb,,,,,us,usp00000sj,2015-05-13T18:53:07.000Z,"east of the Kuril Islands",earthquake
1973-03-01T03:20:19.900Z,-23.276,-175.419,33,4.9,mb,,,,,us,usp00000sk,2014-11-06T23:21:09.637Z,"Tonga region",earthquake
1973-03-01T04:48:48.900Z,49.837,157.299,51,4.5,mb,,,,,us,usp00000sm,2014-11-06T23:21:09.640Z,"east of the Kuril Islands",earthquake
1973-03-01T06:00:19.200Z,44.812,-111.122,5,4.3,mb,,,,,us,usp00000sn,2014-11-06T23:21:09.641Z,"western Montana",earthquake
1973-03-01T06:12:27.500Z,36.828,-115.919,5,,,,,,,us,usp00000sp,2014-11-06T23:21:09.643Z,"Nevada",earthquake
1973-03-01T09:59:02.600Z,-13.386,166.927,131,5,mb,,,,,us,usp00000sq,2014-11-06T23:21:09.645Z,"Vanuatu",earthquake
1973-03-01T11:38:10.700Z,51.352,-179.151,47,4.3,mb,,,,,us,usp00000sr,2014-11-06T23:21:09.646Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1973-03-01T14:06:04.500Z,-17.396,-173.086,33,4.4,mb,,,,,us,usp00000ss,2014-11-06T23:21:09.648Z,"Tonga",earthquake
1973-03-01T15:10:07.700Z,33.158,140.667,60,4.2,mb,,,,,us,usp00000st,2014-11-06T23:21:09.650Z,"Izu Islands, Japan region",earthquake
1973-03-01T17:03:16.200Z,28.528,129.11,33,4.2,mb,,,,,us,usp00000su,2014-11-06T23:21:09.652Z,"Ryukyu Islands, Japan",earthquake
1973-03-01T17:49:06.100Z,-2.082,-78.207,86,4.9,mb,,,,,us,usp00000sv,2014-11-06T23:21:09.654Z,"Ecuador",earthquake
1973-03-01T18:59:31.100Z,-21.997,-114.069,33,5,mb,,,,,us,usp00000sw,2014-11-06T23:21:09.656Z,"southern East Pacific Rise",earthquake
1973-03-02T02:28:58.100Z,3.821,125.814,36,4.7,mb,,,,,us,usp00000sx,2014-11-06T23:21:09.658Z,"Kepulauan Sangihe, Indonesia",earthquake
1973-03-02T08:40:07.300Z,24.115,-108.89,33,4.6,mb,,,,,us,usp00000sy,2014-11-06T23:21:09.660Z,"Gulf of California",earthquake
1973-03-02T10:47:51.600Z,51.63,178.133,73,3.7,mb,,,,,us,usp00000sz,2014-11-06T23:21:09.662Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
1973-03-02T11:28:42.300Z,41.831,-118.546,5,4.2,mb,,,,,us,usp00000t0,2014-11-06T23:21:09.663Z,"Nevada",earthquake
1973-03-02T11:57:54.800Z,-4.932,68.56,33,,,,,,,us,usp00000t1,2014-11-06T23:21:09.665Z,"Chagos Archipelago region",earthquake
1973-03-02T18:30:56.200Z,-18.956,-69.083,138,4.9,mb,,,,,us,usp00000t2,2014-11-06T23:21:09.667Z,"Tarapaca, Chile",earthquake
1973-03-02T18:31:15.100Z,35.75,-118.417,8,3.1,ml,,,,,us,usp00000t3,2014-11-06T23:21:09.668Z,"Central California",earthquake
1973-03-02T19:30:01.900Z,39.384,27.686,55,3.6,mb,,,,,us,usp00000t4,2014-11-06T23:21:09.670Z,"western Turkey",earthquake
1973-03-02T19:32:22.300Z,35.098,140.812,53,4,mb,,,,,us,usp00000t5,2014-11-06T23:21:09.672Z,"near the east coast of Honshu, Japan",earthquake
1973-03-02T22:13:53.300Z,-6.18,147.828,97,,,,,,,us,usp00000t6,2014-11-06T23:21:09.673Z,"eastern New Guinea region, Papua New Guinea",earthquake
1973-03-03T00:44:36.400Z,3.586,126.295,112,5.1,mb,,,,,us,usp00000t7,2014-11-06T23:21:09.675Z,"Kepulauan Talaud, Indonesia",earthquake
1973-03-03T01:43:41.800Z,24.985,128.198,33,5.3,mb,,,,,us,usp00000t8,2014-11-06T23:21:09.677Z,"southeast of the Ryukyu Islands, Japan",earthquake
