time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1982-09-01T01:05:00.330Z,-31.322,-178.224,235.9,4.6,mb,,,,1.1,us,usp0001pbw,2014-11-07T00:31:48.552Z,"Kermadec Islands region",earthquake
1982-09-01T05:18:58.840Z,36.373,-34.042,10,4.8,ms,,,,0.5,us,usp0001pbx,2014-11-07T00:31:49.110Z,"Azores Islands region",earthquake
1982-09-01T05:42:22.830Z,-21.588,-179.273,615.9,4.7,mb,,,,1.1,us,usp0001pby,2014-11-07T00:31:49.139Z,"Fiji region",earthquake
1982-09-01T06:19:24.820Z,61.221,-150.817,92.8,3.8,mb,,,,0.9,us,usp0001pbz,2014-11-07T00:31:49.164Z,"Southern Alaska",earthquake
1982-09-01T07:19:07.440Z,33.668,48.9,33,4.9,mb,,,,0.9,us,usp0001pc0,2014-11-07T00:31:49.184Z,"western Iran",earthquake
1982-09-01T10:47:43.000Z,32.8,-117.45,6,3,ml,,,,,us,usp0001pc1,2014-11-07T00:31:49.228Z,"Channel Islands region, California",earthquake
1982-09-01T11:38:18.440Z,-27.912,26.89,5,,,,,,1,us,usp0001pc2,2014-11-07T00:31:49.237Z,"South Africa",earthquake
1982-09-01T11:46:43.580Z,58.804,-152.698,33,4.1,ml,,,,0.8,us,usp0001pc3,2014-11-07T00:31:49.253Z,"Kodiak Island region, Alaska",earthquake
1982-09-01T13:44:02.940Z,31.949,131.874,49.6,4.5,mb,,,,1.1,us,usp0001pc4,2014-11-07T00:31:49.263Z,"Kyushu, Japan",earthquake
1982-09-01T14:13:44.730Z,-20.819,168.893,34.8,4.7,mb,,,,1.2,us,usp0001pc5,2014-11-07T00:31:49.276Z,"Loyalty Islands, New Caledonia",earthquake
1982-09-01T15:19:02.810Z,-55.598,-27.42,33,5.3,mb,,,,1.1,us,usp0001pc6,2014-11-07T00:31:49.323Z,"South Sandwich Islands region",earthquake
1982-09-01T15:33:17.170Z,43.894,10.322,10,3.9,ml,,,,1,us,usp0001pc7,2014-11-07T00:31:49.355Z,"central Italy",earthquake
